label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
331,106.0,74.48528137423857,0.996308885677768,0.8688524590163934,11.617374563210365,309.97169811320754,385.54716981132077,0.6735996007919312,0.8997484445571899,0.7755917
332,574.0,119.14823227814081,0.92864928847237,0.8644578313253012,27.034043328329254,7.081881533101045,387.45296167247386,0.47990673780441284,1.0,0.78539085
333,67.0,48.485281374238575,0.9912285495648208,0.881578947368421,9.23618154310838,15.477611940298507,385.5074626865672,0.6701638102531433,0.9765629768371582,0.7495991
334,63.0,45.071067811865476,0.9904115952217176,0.875,8.95623198216277,28.53968253968254,384.87301587301585,0.6757469773292542,0.9999386668205261,0.81182903
335,15.0,11.65685424949238,0.7343887778710586,1.0,4.370193722368317,115.93333333333334,386.26666666666665,0.6670961380004883,0.6688140630722046,0.6680983
336,255.0,65.4558441227157,0.6973416922491538,0.9272727272727272,18.01877032173579,37.44313725490196,380.51372549019607,0.5537763237953186,0.9998159408569336,0.7367739
337,234.0,65.97056274847714,0.8659901423377557,0.9034749034749034,17.26088217525478,156.60256410256412,394.20940170940173,0.6387508511543274,0.9983434677124023,0.8374857
338,643.0,131.76955262170048,0.9459401411939651,0.7573616018845701,28.61281229213077,297.86625194401245,392.28304821150857,0.6420025825500488,0.9772992134094238,0.8079469
339,636.0,108.48528137423858,0.9163964034979355,0.9845201238390093,28.456639830653998,395.6163522012579,388.54088050314465,0.6424934267997742,1.0,0.95078963
340,754.0,118.22539674441617,0.796844497242979,0.8849765258215962,30.984231743425763,47.30238726790451,393.94562334217505,0.555862307548523,0.9817780256271362,0.8056639
341,1166.0,157.67514421272202,0.7732061990057003,0.8114126652748782,38.530472475187736,201.9982847341338,385.97341337907375,0.620467483997345,1.0,0.8351808
342,31.0,28.414213562373096,0.9908098754411044,0.8157894736842105,6.282549314314218,224.06451612903226,396.03225806451616,0.6693662405014038,0.9182772040367126,0.7611787
343,103.0,72.48528137423857,0.9962388916128104,0.8728813559322034,11.451797811161432,194.5242718446602,398.4271844660194,0.6575863361358643,0.9841094613075256,0.82830566
344,107.0,73.86396103067892,0.9963980731147882,0.856,11.67204486311899,309.14018691588785,399.4672897196262,0.6524326801300049,0.9712865948677063,0.8304477
345,211.0,58.17766952966369,0.4846569212064728,0.8978723404255319,16.39065416446578,232.9431279620853,394.45023696682466,0.6232284307479858,0.9724522829055786,0.7776975
346,69.0,66.82842712474618,0.9983476249366926,0.8214285714285714,9.373021315815206,196.9855072463768,401.0289855072464,0.6970979571342468,0.985520601272583,0.8518491
347,59.0,46.86396103067893,0.9911289899646283,0.6704545454545454,8.667244841319219,237.59322033898306,401.33898305084745,0.6598564386367798,0.9724522829055786,0.8538425
348,517.0,98.62741699796952,0.2021191123052188,0.8867924528301887,25.65667251667837,134.52611218568666,399.45647969052226,0.5650039911270142,0.9999386668205261,0.80518806
349,69.0,66.82842712474618,0.998314174136576,0.8117647058823529,9.373021315815206,198.94202898550725,403.1159420289855,0.7161788940429688,0.9958893060684204,0.8297841
350,97.0,53.44974746830583,0.9861475830993484,0.8899082568807339,11.11324596323283,233.7422680412371,404.96907216494844,0.6653782725334167,0.971409261226654,0.8445904
351,36.0,33.62132034355964,0.9933780475652366,0.8372093023255814,6.770275002573076,33.833333333333336,404.80555555555554,0.8139762878417969,0.9052088856697083,0.84879947
352,34.0,31.621320343559642,0.9927182329864894,0.8292682926829268,6.579524642479541,123.0,405.2352941176471,0.693662166595459,0.9797533750534058,0.88329846
353,35.0,32.82842712474619,0.9933700480557844,0.8333333333333334,6.6755811781245455,35.51428571428571,406.9714285714286,0.6840910315513611,0.9793238639831543,0.8873971
354,52.0,35.03553390593274,0.9851874532721765,0.8524590163934426,8.136857890256438,38.26923076923077,409.6923076923077,0.653291642665863,0.9992024302482605,0.84505534
355,16.0,12.207106781186548,0.8514055971008102,0.9411764705882353,4.51351666838205,8.0625,412.8125,0.9018344879150391,0.9765629768371582,0.9158461
356,218.0,80.76345596729058,0.9548705306699774,0.7676056338028169,16.66031874701878,27.94495412844037,411.5642201834862,0.5596662163734436,1.0,0.8509894
357,854.0,130.1837661840736,0.6292249981002306,0.9017951425554382,32.97493853222215,71.5023419203747,401.75878220140515,0.6132277846336365,0.9995705485343933,0.8210169
358,892.0,140.5269119345812,0.6144363891898644,0.8643410852713178,33.70058862844632,102.90807174887892,402.34304932735427,0.5393582582473755,0.9998772740364075,0.81696683
359,121.0,52.72792206135786,0.9537576179195584,0.8344827586206897,12.412170838050638,141.04132231404958,412.4710743801653,0.5839622020721436,0.9924535155296326,0.839976
360,931.0,166.01219330881977,0.9670322659469229,0.8166666666666667,34.42943531556155,182.03974221267455,408.1031149301826,0.524756133556366,1.0,0.80437666
361,229.0,67.65685424949237,0.9501490673054926,0.9581589958158996,17.075475271404667,234.21397379912665,411.33187772925766,0.5462298393249512,0.9684029817581177,0.78852105
362,325.0,76.97056274847714,0.4629758643922303,0.9002770083102493,20.342144725641095,256.7169230769231,406.04923076923075,0.6313270926475525,0.9139211177825928,0.7290354
363,176.0,49.071067811865476,0.657098005047513,0.9723756906077348,14.96964127403822,271.3068181818182,408.08522727272725,0.6386895179748535,0.9665623903274536,0.76679415
364,115.0,39.071067811865476,0.6477313029575726,0.9663865546218487,12.100518486599809,282.25217391304346,409.6347826086957,0.6588747501373291,0.9963188171386719,0.8280646
365,640.0,119.55634918610406,0.9448339467645622,0.95952023988006,28.54598585844434,310.634375,408.5328125,0.6181361079216003,0.9964414834976196,0.8534101
366,42.0,25.07106781186548,0.8634788775303444,0.9545454545454546,7.312732791431452,341.6666666666667,413.35714285714283,0.6526780724525452,0.9504263997077942,0.72127855
367,941.0,147.79898987322335,0.9367974349925439,0.9761410788381742,34.61384710770804,390.26886291179596,406.74388947927736,0.6488741636276245,1.0,0.92874837
